,Reviews,Labels,Updated_reviews
0,"The vegetables were well packed  😍 and price is also reasonable 🥰 such a good quality in low price💓 wil shop again inshallah❤️ thank u daraz☺️ thank u seller✨ keep up the good quality👍🏻👍🏻👍🏻👍🏻👍🏻👍🏻👍🏻👍🏻👍🏻
",1,vegetable well pack price also reasonable good quality low price wil shop inshallah thank u daraz thank u seller keep good quality
1,good quality!!! nice packaging ... good taste. keep it up draz . ,1,good quality nice package good taste keep draz
2,Fresh cauliflower delivered in the main bag without wraping them individually so they were a little damaged.,1,fresh cauliflower deliver main bag without wrap individually little damaged
3,Gobi was really nice💯% and clean. But there was too much of the stalk left with it so the useable part was not big enough as you would expect when buying 1kg Gobi from the market.,1,gobi really nice clean much stalk leave useable part big enough would expect buy 1 kg gobi market
4,Good n fresh as always,1,good n fresh always
5,"Vegetable received in good condition.
Each stuff well packed.
Fresh 💯%",1,vegetable receive good condition stuff well pack fresh
6,The cabbage were not very fresh but dFresh sent me almost 2kg instead of the ordered 1kg so not taking down a star.,0,cabbage fresh dfresh send almost 2 kg instead order 1 kg take star
7,cauliflower was fresh and cheap. there was no default in it. i loved ordering from dfresh d will love to do so in future. i would recommend it to all daraz customers .,1,cauliflower fresh cheap default love order dfresh love future would recommend daraz customer
8,The vegetable did not appear very fresh but wasn't spoilt either.,1,vegetable appear fresh be not spoil either
9,"Fresh vegetables.
On time delivered.
Reasonable Price..👍👍👍",1,fresh vegetable time deliver reasonable price
10,fresh vegetables and great service with free delivery ,1,fresh vegetable great service free delivery
11,"good quality and very good service of delivery, good fresh vegetables",1,good quality good service delivery good fresh vegetable
12,Fresh vegetables at reasonable price. Dfresh is always recommended. ,1,fresh vegetable reasonable price dfresh always recommend
13,It's spoiled. Very bad. You guys should skip that part of order if its not upto quality. Instead of sending it to customer. ,0,spoiled bad guy skip part order upto quality instead send customer
14,"Vegetable received in good condition.
Each stuff well packed.
Fresh 💯%",1,vegetable receive good condition stuff well pack fresh
15,therr were 2 types of cauliflower and ordered te better one and this is what I got. not good. ,0,therr 2 type cauliflower order te well one get good
16,It was good. Thanks Daraz.,1,good thank daraz
