Reviews,Labels
"The vegetables were well packed  😍 and price is also reasonable 🥰 such a good quality in low price💓 wil shop again inshallah❤️ thank u daraz☺️ thank u seller✨ keep up the good quality👍🏻👍🏻👍🏻👍🏻👍🏻👍🏻👍🏻👍🏻👍🏻
",1
good quality!!! nice packaging ... good taste. keep it up draz . ,1
Fresh cauliflower delivered in the main bag without wraping them individually so they were a little damaged.,1
Gobi was really nice💯% and clean. But there was too much of the stalk left with it so the useable part was not big enough as you would expect when buying 1kg Gobi from the market.,1
Good n fresh as always,1
"Vegetable received in good condition.
Each stuff well packed.
Fresh 💯%",1
The cabbage were not very fresh but dFresh sent me almost 2kg instead of the ordered 1kg so not taking down a star.,0
cauliflower was fresh and cheap. there was no default in it. i loved ordering from dfresh d will love to do so in future. i would recommend it to all daraz customers .,1
The vegetable did not appear very fresh but wasn't spoilt either.,1
"Fresh vegetables.
On time delivered.
Reasonable Price..👍👍👍",1
fresh vegetables and great service with free delivery ,1
"good quality and very good service of delivery, good fresh vegetables",1
Fresh vegetables at reasonable price. Dfresh is always recommended. ,1
It's spoiled. Very bad. You guys should skip that part of order if its not upto quality. Instead of sending it to customer. ,0
"Vegetable received in good condition.
Each stuff well packed.
Fresh 💯%",1
therr were 2 types of cauliflower and ordered te better one and this is what I got. not good. ,0
It was good. Thanks Daraz.,1
"verr good service , excellent quality,  worth to order",1
happy customer always🤗,1
Timely delivered. Superb quality. Thumbs up 👍 thanks daraz  happy customer 😁,1
"fresh and good quality
thank you daraz",1
the cauliflower quality was poor. very unhappy with the product,0
Horrible stuff! ,0
fresh vegetable,1
Fresh Products,1
Now you are improving yourself 😉. keep it up👍,1
Very bad ruined cauliflower,0
All good and fresh,1
fresh vegetables ,1
Fresh vegitable,1
A1 as always ,1
excellent vegetables and perfect quality thanks for the best experience of daraz shopping and highly recommend to all.,1
"NOW A DAYS DARAZ IS A NAME OF CHEATING, VERY POOR QUALITY, LESS QUANTITY, VOUCHERS ARE EVER FRAUD, EXTREMELY LATE DELIVERY, NOT RECOMMENDED ",0
excellent experience... used this option first time and it is simply great... no more visit to Sunday bazars.😀,1
All veggies and fruits were fresh and of good quality. this time cauliflower was perfect too. thnx dfresh. ,1
Actually ordered it from the office and without lifting a finger my family got the veges and they were fresh and looked freak. couldn't take picture but highly recommended.,1
I was worried the Cauliflower will not be good after reading the reviews but DFresh team has proved those bad reviews wrong. I have received fresh Phool Gobhi ,1
"Unprofessional staff, delivery guys did not give a receipt and there was a quantity shortage. Daraz customer service is the worst I have ever witnessed. ",0
"Quantity shortage in my order. Daraz is not doing anything about my complaint filed over 24h ago. I paid in advance, no receipt given with the order either. Horrible customer service.",0
"seller sent rotten vegetables, vegetables were rotten from outside as well. the seller responded after 2 days and matter took 2 weeks to resolved after involving daraz ",0
everything was of good quality and properly packed when delivered. Thank You Dear Team ,1
"very good and fresh vagitable ,good experience with daraz ,satisfied home delivery.",1
BEST QUALITY AND RIGHT ON TIME. MUST ENJOY. IM A REGULAR Buyer of this store.,1
"Always finds good and fresh products, recommended dFresh 👍

Thank U DarazPk",1
Excellent and fresh as always highly recommended dMart Lahore 😊,1
"dMart is superb, quality of products is excellent keep it up 👍",1
Great experience. fresh veggies. love it . surely order again.,1
Zabrdas... Fresh... Fine rates also have delivered on time,1
"Very Fesh will order again , Thanks Daraz. Thanks Dfresh",1
item was fresh as described. highly recommended seller. ,1
"As usual top quality n fresh thumbs up 👍 
satisfied ",1
i ordered 2kg cauliflower but receive onli 1 kg!!!,0
good sized and quickly delivered. thank you daraz,1
Nice n fresh. Surprisingly cheaper than market. ,1
Very good quality cauliflower delivered again ,1
i was delivered cabbage instead of cauliflower,0
Quality is good and fresh item was delivered.,1
fresh next day delivery.seller recommended,1
fast delivery and fresh vegetables. superb,1
fresh and clean highly recommend to all,1
very good and fresh from dfresh ..... ,1
Cauliflower was fresh and well packed ,1
good and fresh product from dfresh ,1
Very good Nd fresh product fresh,1
smaller in size over all great,1
Fresh vegetables... Thnk you,1
"It was good, upto the mark.",1
Excellent Quality and Fresh,1
not good.. regretting,0
best quilty sabzi ,1
very good product ,1
Very bad quality ,0
Fresh vegetables,1
it was okay good,1
fresh as always,1
Fresh items on ,1
Fresh and Best,1
"Price was very reasonable and is value for money, got fresh and good chilli vegetable within given time. I was surprised to got everything with good quality.",1
vegetables are fresh and good .. love the quality and quantity of vegetables.. know its easy to get things at doorsteps just bcz of daraz thanks you daraz 😍,1
"vegetables are very fresh 
quality was also good 
love it surely order next time 
thankyou so much daraz ❤️😊",1
nice and good vegetables delivered if 5 to 10% of vegetables are damage I don't consider because these are fresh and they are not making it at home these are natural vegetables and can be rotten from some place. ,1
"Got fresh and good vegetable and well packed, Price was very reasonable and is value for money, fully satisfied, Daraz dfresh",1
german chilli are fresh and good quality at this reasonable price lowest price than open market. Thanks daraz.,1
thanks for sending the good and fresh vegetables.... highly recommend 👍 ..... ,1
German chilli was so nice ....fresh and large. ... low price ..... made mrchon ka salan the same day.... ,1
Nice big chillies. Like the way it was packed in net & sent. Good job Dfresh,1
Recieved very fresh quality German chillis and delivery was super quick i wanted to make peri bites for guests and it was not available anywhere but Thankfully found it on Daraz. ,1
All veggies are fresh and good ...thank u daraz and seller too...such a good vegetable in economic price at doorstep ...,1
"Premium Quality vegetables, all vegetables were fresh, well packed timely delivered fully satisfied with the seller.",1
Alhamduillah daraz gave me a very comfortable zone by providing such fresh and healthy products in economical prices at my doorstep...thanks daraz ...☺️,1
"Amazing experience with complete freshness, affordable price, fully satisfied, Daraz dfresh German Mirch vegetables are neat and clean.",1
All vegetables are good and fresh . .daraz maintains its service quality always up. .got all vegetables in economic price .   thanks daraz ...,1
All vegetables are fresh clean and delivered in time. And in reasonable price as compared to common markets.,1
good quality fresh product price is lowest then market price thankyou daraz and thankyou seller😊,1
All vegetables are good and fresh... really amazing experience.. thanks daraza and seller too..,1
well done daraz zbrdast,1
"Masha Allah all vegetables are fresh and Good condition, and delivered in time, Good Job.",1
excellent quality and the main thing is that the price is alot cheaper than local market,1
"100% authentic 
Big
Fresh
Safely Packed
Fast shipment
Economical

Highly Recommended :)",1
Very fresh and nice ,1
Fresh 👍👍👍 Good Quality 👍👍👍 Same as Described 👍👍👍 I Recommend to Buy 👍👍👍.,1
"Amazing, very juicy, very oily and had 1 glass coconut water inside. yummmm",1
Good nice and fresh vegetables at door step. happy shopping. Recommend it,1
Premium German chilli is not so premium infact mix quality has delivered. kindly look at pic. also not a fresh item,0
I ordered German chilli n u delivered big chillies for the 3rd time y u always deliver big chillies instead of German chillies ,0
"I ordered German chilli, but they sent us big and rotten chillies. I called the seller , he gave his whatsapp number and he listened to my query.
2 days later he delivered me 1 kg lemon.. same as the price of chilli. impressed by your service and daraz. very good experience as always  keep it up😃😃",1
chillies are not fresh this time ,0
MASHALLAH everything is good 👍 ,1
Fresh and nice in this heavy raining season they delivered,1
all vegetables are fresh Clean ad reasonable price as compare to our near market. good job.,1
as usual good quality...,1
"very nice product , very fast delivery thanks for daraz",1
All vegetables are fresh Clean and in reasonable price.,1
Excellent Quality...All vegetables are fresh and clean... will definitely order again...,1
German chilli was bit hot but still made tasty curry,1
"was fresh and good quality, liked and recommended",1
"fresh from Dfresh, thanks daraz for this service",1
fresh vegetables and better quality than  market,1
All vegetables are fresh clean and in reasonable price. And delivered in time.,1
"fresh as always, well packed, quick delivery",1
"good quality and fresh ,recommended to all",1
"well packed, fresh and timely delivery. ",1
love it ...very fresh and at best price ,1
Best quality fruits and vegetables ...,1
"fresh Quality low price
happy customer",1
"fresh, quick delivery, well received",1
Received fresh vegetables as always,1
perfect and fresh with best price,1
Mix 50% good and 50% very cheap,1
"great experience, fresh mirchi, ",1
good in quality and quantity,1
Packaging thorugh which chillis got delivered is impressive. ,1
as usual fresh and good quality products... thank u daraz... ,1
good quality.i like it.,1
fresh vegetables 👌👌👌,1
all vegetables are fresh and in reasonable price.,1
Most of them have already turned pale and brown ,0
great product,1
All fresh and Good quality 👍 vegetables.,1
fresh quality products as always 👌,1
Some of them were rotten.,0
Full fresh every thing's,1
A 1 Quilty German Mirch,1
fresh and goofd price,1
Fresh vegetables. ,1
Wrong article,0
"Amazing experienced again... bought variety of vegetable and fruits!
love the quality and quantity is great within this economical price... 100% authentic and fresh all of them. All were separetly packed and big size. Seller is so responsive, highly recommended. Thanks to daraz and team hero's for fast shipment :)",1
all vegetables and bread 🥪 very fresh and good quality really very happy to buy same a always recommended to buy from Daraz,1
very bad experience all vegetables are expired specially ginger is totally rotten. Some items also short. ,0
"Premium Quality vegetables, all vegetables were fresh, well packed timely delivered fully satisfied with the seller.",1
Products are all fresh and of high quality.  Vegetables  german mirch and nicely packed. Thanks daraz.pk,1
"These are neat and clean. happy to shop, green chillies received all fresh, well packed, quick delivery, anyway value for what you paid 👍",1
"once I ordered Vegetables n fruits from daraz I stopped going out for the same and the reason is each and every thing they deliver is fresh and with great quality n quantity.
Thankx ",1
Amazing experienced to bought this german chilli. chilli were so fresh and well packed. deliver on time highly recommended!,1
All vegetables fresh and of good quality...This was my first experience and I can say Daraz has made life  so easy ...good and prompt service Ma Sha Allah,1
All vegetables are good fresh and at reasonable price with compare to our nearer market vegetables.,1
Items were fresh and timely delivered quantity is also good and in reasonable price thanks Daraz. ,1
I ordered German chilli n you delivered big chillies it happened 3rd time very disappointing. ,0
I am very satisfied customer of Daraz / D Fresh all items are truly fresh 10 out of 10 :),1
"Amazingly fresh Quality ,good and fast service thankyou Daraz for makes our life easier",1
Amazing. very good quality. professional packaging and quick delivery on second day. ,1
Very happy with Dfesh so far.  All products were good quality.  Will order again.,1
Very good experience . Fresh vegetables  delivered in time and well packaged,1
all items are good fresh and received i reasonable price. good job 👍.,1
good experience. all veges were fresh and delivered very next day.,1
Very good Quality as well as price. Love to purchase drom dfresh,1
the chillies are fresh and according to my desire thank daraz,1
german green chilli is missing in my package not received ,0
"very bad quality,  last few month your quality gone down.",0
very fresh and super quality and packing thank you daraz,1
I ordered German chillies but you delivered Shimla mirch,0
"Fresh!
Big!
Authentic!",1
Everything item is as usual fresh and neatly packed.,1
all vegetables are good clean ad reasonable price.,1
Good quality and fresh vagitables.. Recommended.. ,1
all vegetables are fresh and in reasonable price.,1
very bad quality too disappointed expensive. .,0
Thanks for providing the fresh product on time,1
taken money for 2kg tomatoes but didn't send,0
Excellent quality. would highly recommmend,1
very good vegetables and fruits 🙂🙂🙂,1
"Good product, satisfied with quality",1
good and fresh and on time delivery,1
every goodthing was fresh and good.,1
"Very reasonable and fresh quality
",1
all vegetables are good and fresh.,1
HAVE'NT RECEIVED THE PRODUCT FRAUD,0
I didn't got chillies in my order,0
good quality and fresh asusual...,1
We didn't receive german chilli,0
Rest every thing is ok and good,1
Very fresh and amazing service.,1
Fresh vegetables and economical,1
good Quality and Good Packing ,1
good quality and fast service,1
Vegetables ordered were fresh,1
half of chillies were ruined,1
all vages are good and fresh,1
packed well on time delivery,1
Best quality and quantity,1
all vegetables ae perfect,1
best quality best price ,1
Very nice. best quality.,1
Love it . . . Thanks!!,1
all vegi r sooo fresh,1
Good and fresh items,1
Fresh n best. Great,1
very poor quality,1
fresh vegetables,1
Fresh vegetable,1
very small size,0
good and fresh,1
fresh received,1
beautiful 🥰,1
over priced ,0
all vegetables are  very fresh thanks  daraz,1
very fresh and excellent. Thanks Daraz,1
Recommended to buy fresh items from Daraz.,1
fresh and timely delivered... satisfied ,1
yesterday I ordered vegetables from daraz and received on door step nxt day. All items are fresh and good siZe. I am regular customr of dfresh. I suggest to all customers to purchase vegetables from daraz. once again daraz to delivering me at door step in corona situation.,1
I have ordered vegetables from daraz. one day ago I ordered from and received vegetables on next day at my door step. the price is also lsss from market and received fresh items. I am regular customer of daraz.,1
I have ordered the vegetables from dfresh. Daraz gave 20% discount on purchasing and free shipping also. I received order after one day at home. thanks daraz for delivering at home in the corona situation. the price of vegetables are also less from market and all vegtables are fresh.,1
